Host Name       | Exit Code         | Virtual Id       | Test         | Subtest        | Component              | Component Id                  | Notes
=========================================================================================================================================================================================================================================
COMPUTE_NODE_0  | MODS-000000000000 | inforom          | inforom      |                | GPU                    | 0008:06:00.0                  | OK
COMPUTE_NODE_0  | MODS-000000000000 | inforom          | inforom      |                | GPU                    | 0018:06:00.0                  | OK
COMPUTE_NODE_0  | MODS-000000000000 | inforom          | inforom      |                | GPU                    | 0009:06:00.0                  | OK
COMPUTE_NODE_0  | MODS-000000000000 | inforom          | inforom      |                | GPU                    | 0019:06:00.0                  | OK
COMPUTE_NODE_0  | DGX-000000000000  | CollectInventory | inventory    |                | System                 | Inventory                     | Skipping inventory validation as 'skip_data_validation' is set to true
COMPUTE_NODE_0  | DGX-000000000000  | CollectInventory | inventory    |                | System                 |                               | CollectInventory results ignored. Pass on fail is true
COMPUTE_NODE_0  | MODS-000000000000 | Connectivity     | connectivity | nvlink         | GPU, PCIE, Nvlink, I2C | 0008:00:00.0                  | OK
COMPUTE_NODE_0  | MODS-000000000000 | Connectivity     | connectivity | nvlink         | GPU, PCIE, Nvlink, I2C | 0008:06:00.0_SN_1762726825161 | OK
COMPUTE_NODE_0  | MODS-000000000000 | Connectivity     | connectivity | nvlink         | GPU, PCIE, Nvlink, I2C | 0009:00:00.0                  | OK
COMPUTE_NODE_0  | MODS-000000000000 | Connectivity     | connectivity | nvlink         | GPU, PCIE, Nvlink, I2C | 0009:06:00.0_SN_1762726825161 | OK
COMPUTE_NODE_0  | MODS-000000000000 | Connectivity     | connectivity | nvlink         | GPU, PCIE, Nvlink, I2C | 0018:00:00.0                  | OK
COMPUTE_NODE_0  | MODS-000000000000 | Connectivity     | connectivity | nvlink         | GPU, PCIE, Nvlink, I2C | 0018:06:00.0_SN_1762726825657 | OK
COMPUTE_NODE_0  | MODS-000000000000 | Connectivity     | connectivity | nvlink         | GPU, PCIE, Nvlink, I2C | 0019:00:00.0                  | OK
COMPUTE_NODE_0  | MODS-000000000000 | Connectivity     | connectivity | nvlink         | GPU, PCIE, Nvlink, I2C | 0019:06:00.0_SN_1762726825657 | OK
COMPUTE_NODE_0  | MODS-000000000043 | NvlBwStress      | nvlink       | singleinstance | NVLink                 |                               | Diag on node [::ffff:172.16.31.154:52960] has stopped responding, crashed, or timed out
COMPUTE_NODE_1  | MODS-000000000000 | inforom          | inforom      |                | GPU                    | 0008:06:00.0                  | OK
COMPUTE_NODE_1  | MODS-000000000000 | inforom          | inforom      |                | GPU                    | 0018:06:00.0                  | OK
COMPUTE_NODE_1  | MODS-000000000000 | inforom          | inforom      |                | GPU                    | 0009:06:00.0                  | OK
COMPUTE_NODE_1  | MODS-000000000000 | inforom          | inforom      |                | GPU                    | 0019:06:00.0                  | OK
COMPUTE_NODE_1  | DGX-000000000000  | CollectInventory | inventory    |                | System                 | Inventory                     | Skipping inventory validation as 'skip_data_validation' is set to true
COMPUTE_NODE_1  | DGX-000000000000  | CollectInventory | inventory    |                | System                 |                               | CollectInventory results ignored. Pass on fail is true
